Company,Industry,City,Investors,Round,Amount,Year,State,Employee Size,Funded_Year,Amount_in_crores
Asteria Aerospace,Aerospace,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2021,Karnataka,51-100,2021,"₹ 75,00,000.00"
Butterfly Interactive,Entertainment,New Delhi,Undisclosed Investments,Seed Funding,0.75,2015,Delhi,11-50,2015,"₹ 75,00,000.00"
Cred,FinTech,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2021,Karnataka,251-500,2021,"₹ 75,00,000.00"
Cred,FinTech,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2018,Karnataka,251-500,2018,"₹ 75,00,000.00"
Flock,Software,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2018,Karnataka,101-250,2018,"₹ 75,00,000.00"
Flock,Software,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2021,Karnataka,101-250,2021,"₹ 75,00,000.00"
Food Memories,Food,Ahmedabad,Undisclosed Investments,Seed Funding,0.75,2021,Gujarat,51-100,2021,"₹ 75,00,000.00"
GenRobotic,Robotics,Trivandrum,Undisclosed Investments,Seed Funding,0.75,2021,Kerala,101-250,2021,"₹ 75,00,000.00"
GetFocus,Technology,Mumbai,Undisclosed Investments,Seed Funding,0.75,2015,Maharashtra,11-50,2015,"₹ 75,00,000.00"
OPEN,Banking,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2018,Karnataka,251-500,2018,"₹ 75,00,000.00"
OPEN,Banking,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2021,Karnataka,251-500,2021,"₹ 75,00,000.00"
Orbo.ai,AI,Mumbai,Undisclosed Investments,Seed Funding,0.75,2018,Maharashtra,11-50,2018,"₹ 75,00,000.00"
Orbo.ai,AI,Mumbai,Undisclosed Investments,Seed Funding,0.75,2021,Maharashtra,11-50,2021,"₹ 75,00,000.00"
Snapmint,Finance,Mumbai,Undisclosed Investments,Seed Funding,0.75,2018,Maharashtra,101-250,2018,"₹ 75,00,000.00"
Snapmint,Finance,Mumbai,Undisclosed Investments,Seed Funding,0.75,2021,Maharashtra,101-250,2021,"₹ 75,00,000.00"
Stumagz,Media,Hyderabad,Undisclosed Investments,Seed Funding,0.75,2021,Telangana,1001-5000,2021,"₹ 75,00,000.00"
Stumagz,Media,Hyderabad,Undisclosed Investments,Seed Funding,0.75,2018,Telangana,1001-5000,2018,"₹ 75,00,000.00"
Try & Buy,E-Commerce,New Delhi,Undisclosed Investments,Seed Funding,0.75,2018,Delhi,11-50,2018,"₹ 75,00,000.00"
Try & Buy,E-Commerce,New Delhi,Undisclosed Investments,Seed Funding,0.75,2021,Delhi,11-50,2021,"₹ 75,00,000.00"
UrbanPiper,Software,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2021,Karnataka,101-250,2021,"₹ 75,00,000.00"
UrbanPiper,Software,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2016,Karnataka,101-250,2016,"₹ 75,00,000.00"
Wishup,Careers,Azadpur,Undisclosed Investments,Seed Funding,0.75,2018,Delhi,251-500,2018,"₹ 75,00,000.00"
Wishup,Careers,Azadpur,Undisclosed Investments,Seed Funding,0.75,2021,Delhi,251-500,2021,"₹ 75,00,000.00"
Wowflux,Technology,New Delhi,Undisclosed Investments,Seed Funding,0.75,2017,Delhi,11-50,2017,"₹ 75,00,000.00"
YourOwnROOM,Hospitality,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2021,Karnataka,11-50,2021,"₹ 75,00,000.00"
ZAMROO,Internet,Noida,Undisclosed Investments,Seed Funding,0.75,2018,Uttar Pradesh,11-50,2018,"₹ 75,00,000.00"
ZAMROO,Internet,Noida,Undisclosed Investments,Seed Funding,0.75,2021,Uttar Pradesh,11-50,2021,"₹ 75,00,000.00"
Zoctr Health,Healthcare,Mumbai,Undisclosed Investments,Seed Funding,0.75,2018,Maharashtra,11-50,2018,"₹ 75,00,000.00"
Zoctr Health,Healthcare,Mumbai,Undisclosed Investments,Seed Funding,0.75,2021,Maharashtra,11-50,2021,"₹ 75,00,000.00"
Zyla Health,Healthcare,New Delhi,Undisclosed Investments,Seed Funding,0.75,2018,Delhi,101-250,2018,"₹ 75,00,000.00"
Zyla Health,Healthcare,New Delhi,Undisclosed Investments,Seed Funding,0.75,2021,Delhi,101-250,2021,"₹ 75,00,000.00"
Wishup,Careers,Azadpur,Tracxnlabs,Seed Funding,0.75,2016,Delhi,251-500,2016,"₹ 75,00,000.00"
DarwinBox,Technology,Hyderabad,Tracxn Labs,Seed Funding,0.75,2016,Telangana,1001-5000,2016,"₹ 75,00,000.00"
AppVirality,Marketing,Hyderabad,Tnn Capital,Seed Funding,0.75,2015,Telangana,11-50,2015,"₹ 75,00,000.00"
WittyFeed,Technology,Indore,Times Internet Ltd,Seed Funding,0.75,2017,Madhya Pradesh,101-250,2017,"₹ 75,00,000.00"
Zoctr,Healthcare,Mumbai,Times Internet Ltd,Seed Funding,0.75,2016,Maharashtra,11-50,2016,"₹ 75,00,000.00"
Innovaccer,Technology,Noida,Tiger Global Management,Seed Funding,0.75,2015,Uttar Pradesh,1001-5000,2015,"₹ 75,00,000.00"
EdgeFx,E-Commerce,Hyderabad,The Chennai Angels,Seed Funding,0.75,2017,Telangana,11-50,2017,"₹ 75,00,000.00"
Innovaccer,Technology,Noida,Teru Sato,Seed Funding,0.75,2015,Uttar Pradesh,1001-5000,2015,"₹ 75,00,000.00"
YourStory,Media,Bengaluru,TV Mohandas Pai,Seed Funding,0.75,2015,Karnataka,101-250,2015,"₹ 75,00,000.00"
Pickrr,Logistics,New Delhi,Swastika Company Ltd,Seed Funding,0.75,2016,Delhi,101-250,2016,"₹ 75,00,000.00"
ZipLoan,Consumer Internet,New Delhi,Sunil Kalra,Seed Funding,0.75,2016,Delhi,251-500,2016,"₹ 75,00,000.00"
ChqBook,FinTech,Gurugram,Startup Buddy,Seed Funding,0.75,2017,Haryana,101-250,2017,"₹ 75,00,000.00"
Blue Tokai Coffee,E-Commerce,New Delhi,Snow Leopard Ventures,Seed Funding,0.75,2016,Delhi,11-50,2016,"₹ 75,00,000.00"
Blue Box Media,Consumer Internet,Jaipur,Siddharth Agarwal,Seed Funding,0.75,2016,Rajasthan,101-250,2016,"₹ 75,00,000.00"
Amigobulls,Finance,Bengaluru,Sharad Sharma,Seed Funding,0.75,2015,Karnataka,11-50,2015,"₹ 75,00,000.00"
EngineerBabu,Technology,Indore,Scale Ventures,Seed Funding,0.75,2016,Madhya Pradesh,51-100,2016,"₹ 75,00,000.00"
BYJU'S,EdTech,Bengaluru,Sanjay Verma,Seed Funding,0.75,2016,Karnataka,10000+,2016,"₹ 75,00,000.00"
Blue Box Media,Consumer Internet,Jaipur,Sanjay Phophaliya,Seed Funding,0.75,2016,Rajasthan,101-250,2016,"₹ 75,00,000.00"
ChqBook,FinTech,Gurugram,Sachin Arora,Seed Funding,0.75,2017,Haryana,101-250,2017,"₹ 75,00,000.00"
LifCare,Consumer Internet,Jaipur,Undisclosed Investments,Seed Funding,0.75,2016,Rajasthan,11-50,2016,"₹ 75,00,000.00"
Nactus,Consumer Internet,Jaipur,Undisclosed Investments,Seed Funding,0.75,2017,Rajasthan,11-50,2017,"₹ 75,00,000.00"
Bewakoof,Personal Care,Mumbai,Rohit Bansal,Seed Funding,0.75,2015,Maharashtra,251-500,2015,"₹ 75,00,000.00"
OYO,Hospitality,Gurugram,RN Agarwal,Seed Funding,0.75,2016,Karnataka,10000+,2016,"₹ 75,00,000.00"
Leverage Edu,EdTech,New Delhi,Ritesh Malik,Seed Funding,0.75,2017,Delhi,1001-5000,2017,"₹ 75,00,000.00"
WittyFeed,Technology,Indore,Ritesh Malik,Seed Funding,0.75,2017,Madhya Pradesh,101-250,2017,"₹ 75,00,000.00"
LifCare,Consumer Internet,Jaipur,Rishi M,Seed Funding,0.75,2016,Rajasthan,11-50,2016,"₹ 75,00,000.00"
AppVirality,Marketing,Hyderabad,Ravi Gururaj,Seed Funding,0.75,2015,Telangana,11-50,2015,"₹ 75,00,000.00"
Ampere,Transportation,Coimbatore,Ratan Tata,Seed Funding,0.75,2015,Tamil Nadu,51-100,2015,"₹ 75,00,000.00"
YourStory,Media,Bengaluru,Ratan Tata,Seed Funding,0.75,2015,Karnataka,101-250,2015,"₹ 75,00,000.00"
Buttercups,E-Commerce,Bengaluru,Rasekaran,Seed Funding,0.75,2016,Karnataka,11-50,2016,"₹ 75,00,000.00"
NoBroker,Consumer Internet,Bengaluru,Rasekaran,Seed Funding,0.75,2016,Karnataka,51-100,2016,"₹ 75,00,000.00"
WittyFeed,Technology,Indore,Rasekaran,Seed Funding,0.75,2017,Madhya Pradesh,101-250,2017,"₹ 75,00,000.00"
Fashionablyin,Consumer Internet,Mumbai,Ranjan Mahtani,Seed Funding,0.75,2016,Maharashtra,501-1000,2016,"₹ 75,00,000.00"
LifCare,Consumer Internet,Jaipur,Rajul Garg,Seed Funding,0.75,2016,Rajasthan,11-50,2016,"₹ 75,00,000.00"
Meesho,E-Commerce,Bengaluru,Rajul Garg,Seed Funding,0.75,2016,Karnataka,1001-5000,2016,"₹ 75,00,000.00"
EdgeFx,E-Commerce,Hyderabad,Rajasthan Angel Innovators Network,Seed Funding,0.75,2017,Telangana,11-50,2017,"₹ 75,00,000.00"
AppVirality,Marketing,Hyderabad,Rajan Anand,Seed Funding,0.75,2015,Telangana,11-50,2015,"₹ 75,00,000.00"
Innovaccer,Technology,Noida,Rajan Anand,Seed Funding,0.75,2015,Uttar Pradesh,1001-5000,2015,"₹ 75,00,000.00"
LoanCircle,FinTech,Bengaluru,Rahul Khanna,Seed Funding,0.75,2015,Karnataka,11-50,2015,"₹ 75,00,000.00"
Pitstop,Consumer Internet,Bengaluru,Rahul Garg,Seed Funding,0.75,2016,Karnataka,101-250,2016,"₹ 75,00,000.00"
Truelancer,Careers,New Delhi,Raghu Vohra,Seed Funding,0.75,2015,Delhi,11-50,2015,"₹ 75,00,000.00"
TinMen,Consumer Internet,Hyderabad,R Ramaraj,Seed Funding,0.75,2017,Telangana,11-50,2017,"₹ 75,00,000.00"
Nactus,Consumer Internet,Jaipur,R Balach,Seed Funding,0.75,2017,Rajasthan,11-50,2017,"₹ 75,00,000.00"
Razorpay,FinTech,Bengaluru,Punit Soni,Seed Funding,0.75,2015,Karnataka,1001-5000,2015,"₹ 75,00,000.00"
Kratikal,Technology,Noida,Praveen Dubey,Seed Funding,0.75,2017,Uttar Pradesh,101-250,2017,"₹ 75,00,000.00"
Canvera,Consumer Internet,Bengaluru,Pratik Seal,Seed Funding,0.75,2016,Karnataka,501-1000,2016,"₹ 75,00,000.00"
ImpactGuru,FinTech,Mumbai,Piyush Jain,Seed Funding,0.75,2016,Maharashtra,501-1000,2016,"₹ 75,00,000.00"
Amigobulls,Finance,Bengaluru,Pallav Nadhani Angels Network,Seed Funding,0.75,2015,Karnataka,11-50,2015,"₹ 75,00,000.00"
Pickrr,Logistics,New Delhi,Palaash Ventures,Seed Funding,0.75,2015,Delhi,101-250,2015,"₹ 75,00,000.00"
LifCare,Consumer Internet,Jaipur,Pavestone Ventures,Seed Funding,0.75,2016,Rajasthan,11-50,2016,"₹ 75,00,000.00"
Bewakoof,Personal Care,Mumbai,Nikhil Vora,Seed Funding,0.75,2015,Maharashtra,251-500,2015,"₹ 75,00,000.00"
PratiLipi,Consumer Internet,Bengaluru,Nexus Venture Partners,Seed Funding,0.75,2016,Karnataka,51-100,2016,"₹ 75,00,000.00"
Native Special,E-Commerce,Karur,Native Angels Network,Seed Funding,0.75,2017,Tamil Nadu,11-50,2017,"₹ 75,00,000.00"
Pitstop,Consumer Internet,Bengaluru,Myntra/Livspace Founders,Seed Funding,0.75,2016,Karnataka,101-250,2016,"₹ 75,00,000.00"
Bounty App,Software,Bengaluru,Mumbai Angels Mape Advisory Group,Seed Funding,0.75,2015,Karnataka,11-50,2015,"₹ 75,00,000.00"
BookEventz,Consumer Internet,Mumbai,Mumbai Angels Network,Seed Funding,0.75,2015,Maharashtra,51-100,2015,"₹ 75,00,000.00"
Crossahead,Consumer Internet,Noida,Mohit Sharma,Seed Funding,0.75,2016,Uttar Pradesh,11-50,2016,"₹ 75,00,000.00"
AppVirality,Marketing,Hyderabad,Mohit Saxena,Seed Funding,0.75,2015,Telangana,11-50,2015,"₹ 75,00,000.00"
iDreamCareer,EdTech,New Delhi,Mohit Satyan,Seed Funding,0.75,2015,Delhi,51-100,2015,"₹ 75,00,000.00"
LiveNutriFit,Healthcare,New Delhi,Mohit Goel,Seed Funding,0.75,2016,Delhi,11-50,2016,"₹ 75,00,000.00"
Houssup,Consumer Internet,Jaipur,Mitin Patel,Seed Funding,0.75,2016,Rajasthan,11-50,2016,"₹ 75,00,000.00"
AppVirality,Marketing,Hyderabad,Mike Galgon,Seed Funding,0.75,2015,Telangana,11-50,2015,"₹ 75,00,000.00"
Loadshare,Logistics,Bengaluru,Matrix Partners,Seed Funding,0.75,2017,Karnataka,11-50,2017,"₹ 75,00,000.00"
Wishup,Careers,Azadpur,Mato Peric,Seed Funding,0.75,2016,Delhi,251-500,2016,"₹ 75,00,000.00"
TinMen,Consumer Internet,Hyderabad,Mape Advisory Group,Seed Funding,0.75,2017,Telangana,11-50,2017,"₹ 75,00,000.00"
Buttercups,E-Commerce,Bengaluru,Manoj Varghese,Seed Funding,0.75,2016,Karnataka,11-50,2016,"₹ 75,00,000.00"
Buttercups,E-Commerce,Bengaluru,Manoj Varghese,Seed Funding,0.75,2015,Karnataka,11-50,2015,"₹ 75,00,000.00"
The Man Company,Personal Care,New Delhi,Manish Vij,Seed Funding,0.75,2015,Delhi,101-250,2015,"₹ 75,00,000.00"
Meesho,E-Commerce,Bengaluru,Maninder Gulati,Seed Funding,0.75,2016,Karnataka,1001-5000,2016,"₹ 75,00,000.00"
Blue Box Media,Consumer Internet,Jaipur,Mahavir Pratap Sharma,Seed Funding,0.75,2016,Rajasthan,101-250,2016,"₹ 75,00,000.00"
Aisle,Consumer Internet,Bengaluru,Letsventure,Seed Funding,0.75,2017,Karnataka,101-250,2017,"₹ 75,00,000.00"
BookEventz,Consumer Internet,Mumbai,Letsventure,Seed Funding,0.75,2016,Maharashtra,51-100,2016,"₹ 75,00,000.00"
GameXS.in,Entertainment,New Delhi,Lead Angels,Seed Funding,0.75,2015,Delhi,11-50,2015,"₹ 75,00,000.00"
TinMen,Consumer Internet,Hyderabad,Lead Angel Network,Seed Funding,0.75,2016,Telangana,11-50,2016,"₹ 75,00,000.00"
Kreate Konnect,Technology,Vadodara,Langoor,Seed Funding,0.75,2017,Gujarat,11-50,2017,"₹ 75,00,000.00"
LifCare,Consumer Internet,Jaipur,Kunal Shah,Seed Funding,0.75,2016,Rajasthan,11-50,2016,"₹ 75,00,000.00"
Bewakoof,Personal Care,Mumbai,Kunal Bahl,Seed Funding,0.75,2015,Maharashtra,251-500,2015,"₹ 75,00,000.00"
Vernacular.ai,Technology,Bengaluru,Kstart Capital,Seed Funding,0.75,2017,Karnataka,51-100,2017,"₹ 75,00,000.00"
Aisle,Consumer Internet,Bengaluru,Konglo Ventures,Seed Funding,0.75,2017,Karnataka,101-250,2017,"₹ 75,00,000.00"
Meesho,E-Commerce,Bengaluru,Kashyap Deorah,Seed Funding,0.75,2016,Karnataka,1001-5000,2016,"₹ 75,00,000.00"
YourStory,Media,Bengaluru,Karthee Madasamay,Seed Funding,0.75,2015,Karnataka,101-250,2015,"₹ 75,00,000.00"
The Man Company,Personal Care,New Delhi,Karan Bajwa,Seed Funding,0.75,2015,Delhi,101-250,2015,"₹ 75,00,000.00"
Buttercups,E-Commerce,Bengaluru,Kanwaljit Singh,Seed Funding,0.75,2015,Karnataka,11-50,2015,"₹ 75,00,000.00"
Buttercups,E-Commerce,Bengaluru,Kanwaljit Singh,Seed Funding,0.75,2016,Karnataka,11-50,2016,"₹ 75,00,000.00"
Blue Box Media,Consumer Internet,Jaipur,Kamal Kothari,Seed Funding,0.75,2016,Rajasthan,101-250,2016,"₹ 75,00,000.00"
Truelancer,Careers,New Delhi,Kamal Bansal,Seed Funding,0.75,2015,Delhi,11-50,2015,"₹ 75,00,000.00"
Leverage Edu,EdTech,New Delhi,Jim Schimdktke,Seed Funding,0.75,2017,Delhi,1001-5000,2017,"₹ 75,00,000.00"
Quinto,Food,Pune,Jaydeep Barman,Seed Funding,0.75,2015,Maharashtra,11-50,2015,"₹ 75,00,000.00"
Shopkirana,E-Commerce,Indore,Jaikumar Nair,Seed Funding,0.75,2016,Madhya Pradesh,501-1000,2016,"₹ 75,00,000.00"
RAW Pressery,Food,Mumbai,Jacqueline Fern,Seed Funding,0.75,2017,Maharashtra,101-250,2017,"₹ 75,00,000.00"
Kratikal,Technology,Noida,J.P. Bhatt,Seed Funding,0.75,2017,Uttar Pradesh,101-250,2017,"₹ 75,00,000.00"
BookEventz,Consumer Internet,Mumbai,Investors From Mumbai Angels,Seed Funding,0.75,2016,Maharashtra,51-100,2016,"₹ 75,00,000.00"
Skillbox,EdTech,Gurugram,Individual Investors,Seed Funding,0.75,2018,Haryana,101-250,2018,"₹ 75,00,000.00"
FarMart,Technology,Gurugram,Indian Angel Network,Seed Funding,0.75,2017,Haryana,11-50,2017,"₹ 75,00,000.00"
Native Special,E-Commerce,Karur,Indian Angel Network,Seed Funding,0.75,2017,Tamil Nadu,11-50,2017,"₹ 75,00,000.00"
MilkBasket,E-Commerce,Gurugram,Incubator Group,Seed Funding,0.75,2017,Haryana,11-50,2017,"₹ 75,00,000.00"
AppVirality,Marketing,Hyderabad,IIG,Seed Funding,0.75,2015,Telangana,11-50,2015,"₹ 75,00,000.00"
First Moms Club,Consumer Internet,Mumbai,Idea Wave Labs,Seed Funding,0.75,2016,Maharashtra,11-50,2016,"₹ 75,00,000.00"
ZipLoan,Consumer Internet,New Delhi,Growx Ventures,Seed Funding,0.75,2016,Delhi,251-500,2016,"₹ 75,00,000.00"
NoBroker,Consumer Internet,Bengaluru,General Atlantic,Seed Funding,0.75,2016,Karnataka,51-100,2016,"₹ 75,00,000.00"
Nactus,Consumer Internet,Jaipur,Gautam Chhaochharia,Seed Funding,0.75,2017,Rajasthan,11-50,2017,"₹ 75,00,000.00"
Nactus,Consumer Internet,Jaipur,Gautam Chhaochharia,Seed Funding,0.75,2017,Rajasthan,11-50,2017,"₹ 75,00,000.00"
Houssup,Consumer Internet,Jaipur,Gaurav Agarwal,Seed Funding,0.75,2016,Rajasthan,11-50,2016,"₹ 75,00,000.00"
1Crowd,Finance,Mumbai,Ganesh Natarajan,Seed Funding,0.75,2017,Maharashtra,11-50,2017,"₹ 75,00,000.00"
Bounty App,Software,Bengaluru,Fireside Ventures,Seed Funding,0.75,2015,Karnataka,11-50,2015,"₹ 75,00,000.00"
MamaEarth,E-Commerce,Gurugram,Fireside Ventures,Seed Funding,0.75,2016,Haryana,11-50,2016,"₹ 75,00,000.00"
MamaEarth,E-Commerce,Gurugram,Fireside Ventures,Seed Funding,0.75,2017,Haryana,11-50,2017,"₹ 75,00,000.00"
RAW Pressery,Food,Mumbai,Experts,Seed Funding,0.75,2017,Maharashtra,101-250,2017,"₹ 75,00,000.00"
EdgeFx,E-Commerce,Hyderabad,Experts,Seed Funding,0.75,2017,Telangana,11-50,2017,"₹ 75,00,000.00"
eShiksha,Technology,Jaipur,Experts,Seed Funding,0.75,2017,Rajasthan,101-250,2017,"₹ 75,00,000.00"
WIMWI Foods,Food,Ahmedabad,Entrepreneurship (Ciie),Seed Funding,0.75,2016,Gujarat,101-250,2016,"₹ 75,00,000.00"
DarwinBox,Technology,Hyderabad,Endiya Partners,Seed Funding,0.75,2016,Telangana,1001-5000,2016,"₹ 75,00,000.00"
AlmaConnect,Consumer Internet,New Delhi,Emergent Ventures India,Seed Funding,0.75,2016,Delhi,11-50,2016,"₹ 75,00,000.00"
YourStory,Media,Bengaluru,Emergent Ventures India,Seed Funding,0.75,2015,Karnataka,101-250,2015,"₹ 75,00,000.00"
LifCare,Consumer Internet,Jaipur,EEP T,Seed Funding,0.75,2016,Rajasthan,11-50,2016,"₹ 75,00,000.00"
Nactus,Consumer Internet,Jaipur,Eep Aggarwal,Seed Funding,0.75,2017,Rajasthan,11-50,2017,"₹ 75,00,000.00"
99Games,Technology,Udupi,Dream Incubator,Seed Funding,0.75,2017,Karnataka,11-50,2017,"₹ 75,00,000.00"
PumpKart,E-Commerce,Chandigarh,Dr. Ritesh Malik,Seed Funding,0.75,2017,Chandigarh,11-50,2017,"₹ 75,00,000.00"
FroyoFit,Consumer Internet,Indore,Dr. Pooja G,Seed Funding,0.75,2016,Madhya Pradesh,11-50,2016,"₹ 75,00,000.00"
LifCare,Consumer Internet,Jaipur,Dheeraj Jain,Seed Funding,0.75,2016,Rajasthan,11-50,2016,"₹ 75,00,000.00"
LifCare,Consumer Internet,Jaipur,Dexter Angel Circle,Seed Funding,0.75,2016,Rajasthan,11-50,2016,"₹ 75,00,000.00"
Leverage Edu,EdTech,New Delhi,Deepak Jain,Seed Funding,0.75,2017,Delhi,1001-5000,2017,"₹ 75,00,000.00"
Agrowave,AgriTech,Gurugram,Daffodil Software,Seed Funding,0.75,2017,Haryana,101-250,2017,"₹ 75,00,000.00"
EdgeFx,E-Commerce,Hyderabad,Cross Border Angels,Seed Funding,0.75,2017,Telangana,11-50,2017,"₹ 75,00,000.00"
eShiksha,Technology,Jaipur,Cross Border Angels,Seed Funding,0.75,2017,Rajasthan,101-250,2017,"₹ 75,00,000.00"
TinMen,Consumer Internet,Hyderabad,Corvus Ventures,Seed Funding,0.75,2017,Telangana,11-50,2017,"₹ 75,00,000.00"
WIMWI Foods,Food,Ahmedabad,Centre For Innovation Incubation,Seed Funding,0.75,2016,Gujarat,101-250,2016,"₹ 75,00,000.00"
6Degree,Networking,Mumbai,Centre For Incubation,Seed Funding,0.75,2015,Maharashtra,11-50,2015,"₹ 75,00,000.00"
Teabox,E-Commerce,Siliguri,Cameron Jones,Seed Funding,0.75,2016,West Bengal,51-100,2016,"₹ 75,00,000.00"
6Degree,Networking,Mumbai,Business Acceleration,Seed Funding,0.75,2015,Maharashtra,11-50,2015,"₹ 75,00,000.00"
AppVirality,Marketing,Hyderabad,Blume Ventures,Seed Funding,0.75,2015,Telangana,11-50,2015,"₹ 75,00,000.00"
MilkBasket,E-Commerce,Gurugram,Blume Ventures,Seed Funding,0.75,2017,Haryana,11-50,2017,"₹ 75,00,000.00"
Truelancer,Careers,New Delhi,Blackstone Valley Group,Seed Funding,0.75,2015,Delhi,11-50,2015,"₹ 75,00,000.00"
Healthbuds,Consumer Internet,Kolkata,Bharat Kedia,Seed Funding,0.75,2017,West Bengal,101-250,2017,"₹ 75,00,000.00"
ChqBook,FinTech,Gurugram,Bharat Gupta,Seed Funding,0.75,2017,Haryana,101-250,2017,"₹ 75,00,000.00"
Kashmir Box,E-Commerce,Srinagar,Bhairavi Jani,Seed Funding,0.75,2018,Jammu and Kashmir,11-50,2018,"₹ 75,00,000.00"
ZipLoan,Consumer Internet,New Delhi,Badal Malick,Seed Funding,0.75,2016,Delhi,251-500,2016,"₹ 75,00,000.00"
Actionable Analytics,Data Analytics,New Delhi,B M Gupta,Seed Funding,0.75,2015,Delhi,11-50,2015,"₹ 75,00,000.00"
UrbanPiper,Software,Bengaluru,Axilor Ventures,Seed Funding,0.75,2016,Karnataka,101-250,2016,"₹ 75,00,000.00"
LifCare,Consumer Internet,Jaipur,Awat,Seed Funding,0.75,2016,Rajasthan,11-50,2016,"₹ 75,00,000.00"
getNow,E-Commerce,Nagpur,Atulya Mittal,Seed Funding,0.75,2015,Maharashtra,11-50,2015,"₹ 75,00,000.00"
Shopkirana,E-Commerce,Indore,Atul Jain,Seed Funding,0.75,2016,Madhya Pradesh,501-1000,2016,"₹ 75,00,000.00"
WorkIndia,Consumer Internet,Mumbai,Asuka Holdings,Seed Funding,0.75,2016,Maharashtra,51-100,2016,"₹ 75,00,000.00"
Zappfresh,Food,Gurugram,Ashvin Chadha,Seed Funding,0.75,2016,Haryana,11-50,2016,"₹ 75,00,000.00"
WittyFeed,Technology,Indore,Ashish Toshniwal,Seed Funding,0.75,2017,Madhya Pradesh,101-250,2017,"₹ 75,00,000.00"
AppVirality,Marketing,Hyderabad,Ashim Mehra,Seed Funding,0.75,2015,Telangana,11-50,2015,"₹ 75,00,000.00"
